V1,V2,V3,V4,V5,V6,state,Next_State_1,Next_State_2,Next_State_3,Next_State_4,Prob_1,Prob_2,Prob_3,Prob_4
1000.0,5000.0,0,0.0,0,False,0,1,,,,1.0,,,
1047.0,4551.0,1,0.92,1,False,1,2,3,,,0.68,0.32,,
1096.0,4142.0,1,0.92,2,False,2,4,,,,1.0,,,
1146.0,3770.0,1,0.92,3,False,4,,,,,,,,
993.0,4576.0,1,1.0,2,False,3,5,6,,,0.59,0.41,,
1040.0,4165.0,1,0.92,3,False,5,7,8,,,0.53,0.47,,
1088.0,3791.0,1,0.92,4,False,7,9,,,,1.0,,,
1138.0,3451.0,1,0.92,5,False,9,10,11,,,0.55,0.45,,
1189.0,3141.0,1,0.84,6,False,10,,,,,,,,
1077.0,3470.0,1,0.94,6,False,11,12,13,,,0.44,0.56,,
1126.0,3158.0,1,0.92,7,False,12,14,15,,,0.02,0.98,,
1176.0,2875.0,1,0.92,8,False,14,,,,,,,,
1066.0,3175.0,1,1.0,8,False,15,16,,,,1.0,,,
1114.0,2890.0,1,0.92,9,False,16,17,18,,,0.44,0.56,,
1164.0,2631.0,1,0.92,10,False,17,,,,,,,,
1054.0,2906.0,1,1.0,10,False,18,19,,,,1.0,,,
1102.0,2645.0,1,0.92,11,True,19,,,,,,,,
1020.0,3489.0,1,1.0,7,False,13,20,21,,,0.5,0.5,,
1067.0,3176.0,1,0.92,8,False,20,22,,,,1.0,,,
1115.0,2891.0,1,0.92,9,False,22,23,,,,1.0,,,
1165.0,2631.0,1,0.92,10,False,23,,,,,,,,
967.0,3508.0,1,1.0,8,False,21,24,,,,1.0,,,
1012.0,3193.0,1,0.92,9,False,24,25,26,,,0.02,0.98,,
1059.0,2906.0,1,0.92,10,False,25,27,,,,1.0,,,
1107.0,2645.0,1,0.92,11,True,27,,,,,,,,
959.0,3211.0,1,1.0,10,False,26,28,29,,,0.63,0.37,,
1004.0,2923.0,1,0.92,11,True,28,,,,,,,,
910.0,3229.0,1,1.0,11,True,29,,,,,,,,
986.0,4188.0,1,1.0,4,False,8,30,31,,,0.31,0.69,,
1032.0,3812.0,1,0.92,5,False,30,32,33,,,0.46,0.54,,
1080.0,3470.0,1,0.92,6,False,32,34,,,,1.0,,,
1129.0,3158.0,1,0.92,7,False,34,35,36,,,0.53,0.47,,
1179.0,2875.0,1,0.92,8,False,35,,,,,,,,
1068.0,3175.0,1,1.0,8,False,36,37,38,,,0.77,0.23,,
1117.0,2890.0,1,0.92,9,False,37,39,,,,1.0,,,
1167.0,2631.0,1,0.92,10,False,39,,,,,,,,
1012.0,3193.0,1,1.0,9,False,38,25,26,,,0.19,0.81,,
1059.0,2906.0,1,0.92,10,False,25,27,40,,,0.29,0.71,,
1107.0,2645.0,1,0.92,11,True,27,,,,,,,,
1003.0,2922.0,1,1.0,11,True,40,,,,,,,,
959.0,3211.0,1,1.0,10,False,26,28,29,,,0.67,0.33,,
1004.0,2923.0,1,0.92,11,True,28,,,,,,,,
910.0,3229.0,1,1.0,11,True,29,,,,,,,,
978.0,3833.0,1,1.0,6,False,33,41,42,,,0.17,0.83,,
1024.0,3489.0,1,0.92,7,False,41,43,,,,1.0,,,
1071.0,3176.0,1,0.92,8,False,43,44,45,,,0.62,0.38,,
1120.0,2891.0,1,0.92,9,False,44,46,,,,1.0,,,
1170.0,2631.0,1,0.92,10,False,46,,,,,,,,
1014.0,3194.0,1,1.0,9,False,45,47,,,,1.0,,,
1061.0,2907.0,1,0.92,10,False,47,48,49,,,0.49,0.51,,
1109.0,2646.0,1,0.92,11,True,48,,,,,,,,
1005.0,2923.0,1,1.0,11,True,49,,,,,,,,
928.0,3854.0,1,1.0,7,False,42,50,,,,1.0,,,
972.0,3508.0,1,0.92,8,False,50,51,,,,1.0,,,
1018.0,3193.0,1,0.92,9,False,51,52,,,,1.0,,,
1065.0,2906.0,1,0.92,10,False,52,53,54,,,0.58,0.42,,
1113.0,2645.0,1,0.92,11,True,53,,,,,,,,
1009.0,2922.0,1,1.0,11,True,54,,,,,,,,
935.0,4211.0,1,1.0,5,False,31,55,,,,1.0,,,
980.0,3833.0,1,0.92,6,False,55,56,57,,,0.81,0.19,,
