V1,V2,V3,V4,V5,V6,V7,V8,V9,state,Next_State_1,Next_State_2,Next_State_3,Next_State_4,Prob_1,Prob_2,Prob_3,Prob_4
1011.0,0.04,0.34,-0.03,1208.5,0,3.15,0,False,0,1,2,,,0.81,0.19,,
900.0,-0.05,0.23,-0.2,1441.6,0,-2.55,1,False,1,3,4,,,0.75,0.25,,
798.0,-0.09,0.04,-0.05,1602.0,0,-3.61,2,False,3,5,6,,,0.57,0.43,,
685.0,-0.1,0.03,-0.04,1508.7,0,-3.16,3,False,5,,,,,,,,
820.0,-0.06,-0.12,0.09,1752.4,0,-2.67,3,False,6,7,8,,,0.94,0.06,,
739.0,-0.03,-0.15,0.15,1718.8,0,-1.0,4,False,7,9,10,,,0.6,0.4,,
670.0,0.01,-0.08,0.05,1671.2,0,0.09,5,False,9,11,12,,,0.53,0.47,,
576.0,0.01,-0.06,0.04,1573.9,0,0.08,6,False,11,,,,,,,,
706.0,0.01,-0.14,0.22,1707.5,0,0.3,6,False,12,13,14,,,0.73,0.27,,
641.0,0.06,-0.03,0.07,1648.9,0,1.01,7,False,13,15,16,,,0.24,0.76,,
551.0,0.07,-0.02,0.06,1552.9,0,0.88,8,False,15,,,,,,,,
675.0,0.02,-0.12,0.25,1692.1,0,0.45,8,False,16,17,18,,,0.5,0.5,,
613.0,0.06,-0.01,0.07,1643.3,0,0.91,9,False,17,19,20,,,0.6,0.4,,
526.0,0.07,-0.01,0.06,1547.6,0,0.8,10,False,19,,,,,,,,
645.0,-0.0,-0.14,0.27,1697.9,0,0.03,10,False,20,21,22,,,0.66,0.34,,
586.0,0.07,-0.01,0.05,1650.1,0,0.82,11,False,21,23,24,,,0.28,0.72,,
503.0,0.08,-0.01,0.04,1554.0,0,0.71,12,False,23,,,,,,,,
617.0,-0.0,-0.15,0.28,1702.0,0,0.01,12,False,24,25,26,,,0.25,0.75,,
560.0,0.08,0.01,0.06,1651.9,0,0.97,13,False,25,27,28,,,0.88,0.12,,
482.0,0.1,0.0,0.05,1555.7,0,0.85,14,False,27,,,,,,,,
589.0,-0.02,-0.19,0.31,1709.8,0,-0.35,14,False,28,29,30,,,0.97,0.03,,
535.0,0.09,0.01,0.05,1660.4,0,0.87,15,False,29,31,32,,,0.48,0.52,,
460.0,0.1,0.01,0.04,1563.7,0,0.76,16,False,31,,,,,,,,
535.0,0.09,0.01,0.05,1660.4,0,0.87,16,True,32,,,,,,,,
625.0,0.04,-0.14,0.16,1720.4,0,0.76,15,False,30,33,34,,,0.59,0.41,,
537.0,0.05,-0.11,0.14,1620.2,0,0.66,16,True,33,,,,,,,,
625.0,0.04,-0.14,0.16,1720.4,0,0.76,16,True,34,,,,,,,,
653.0,0.03,-0.15,0.2,1717.3,0,0.61,13,False,26,35,36,,,0.5,0.5,,
593.0,0.1,0.0,0.1,1650.1,0,1.49,14,False,35,37,38,,,0.99,0.01,,
509.0,0.11,0.0,0.08,1554.0,0,1.3,15,False,37,,,,,,,,
625.0,0.02,-0.14,0.3,1694.6,0,0.39,15,False,38,39,40,,,0.79,0.21,,
537.0,0.02,-0.1,0.25,1595.9,0,0.35,16,True,39,,,,,,,,
625.0,0.02,-0.14,0.3,1694.6,0,0.39,16,True,40,,,,,,,,
691.0,0.05,-0.14,0.23,1711.6,0,1.36,14,False,36,41,42,,,0.17,0.83,,
627.0,0.1,0.0,0.11,1638.4,0,1.77,15,False,41,43,44,,,0.46,0.54,,
538.0,0.11,0.0,0.09,1543.0,0,1.55,16,False,43,,,,,,,,
627.0,0.1,0.0,0.11,1638.4,0,1.77,16,True,44,,,,,,,,
730.0,0.06,-0.13,0.24,1696.5,0,1.85,15,False,42,45,46,,,0.14,0.86,,
627.0,0.06,-0.1,0.2,1597.7,0,1.61,16,True,45,,,,,,,,
730.0,0.06,-0.13,0.24,1696.5,0,1.85,16,True,46,,,,,,,,
682.0,0.02,-0.15,0.21,1713.9,0,0.63,11,False,22,47,48,,,0.66,0.34,,
619.0,0.09,-0.0,0.09,1644.7,0,1.55,12,False,47,49,50,,,0.89,0.11,,
532.0,0.1,-0.0,0.07,1548.9,0,1.35,13,False,49,,,,,,,,
